Henry Smith,-0.032408,0.048072,0.005412, Conservative
Hugo Swire,-0.054304,0.120495,-0.102182, Conservative
Huw Merriman,-0.029532,0.043289,-0.012003, Conservative
Iain Smith,-0.074731,-0.02979,-0.05766, Conservative
Iain Stewart,-0.023822,0.0426,-0.006094, Conservative
Ian Liddell Grainger,-0.022893,0.10154,-0.122049, Labour
Jackie Doyle Price,-0.066965,0.029684,-0.140048, Conservative
Jack Lopresti,0.115888,0.000789,-0.051069, Conservative
Jacob Rees Mogg,-0.028567,-0.0151,0.015839, Conservative
Jake Berry,0.036435,-0.036412,-0.053685, Conservative
James Berry,-0.037782,0.031767,-0.092098, Conservative
James Brokenshire,0.09475,-0.030715,0.030987, Conservative
James Cartlidge,-0.00171,0.022426,-0.019722, Conservative
James Cleverly,-0.012075,-0.011283,-0.050062, Conservative
James Davies,-0.083363,-0.101404,-0.026043, Conservative
James Duddridge,-0.095138,-0.038037,-0.015799, Conservative
James Gray,-0.183534,-0.016137,-0.035041, Conservative
James Heappey,-0.021303,0.009357,-0.00123, Conservative
James Morris,-0.017725,-0.003743,-0.032419, Conservative
James Wharton,-0.039055,0.023633,-0.05845, Conservative
Jane Ellison,-0.009533,0.043453,-0.025835, Conservative
Jason McCartney,0.106282,0.089487,-0.191355, Conservative
Jeremy Hunt,0.062595,-0.012834,-0.057111, Conservative
Jeremy Lefroy,-0.114295,-0.120271,-0.09993, Conservative
Jeremy Quin,-0.024677,-0.007689,-0.001451, Conservative
Jeremy Wright,0.003244,-0.00689,0.02225, Conservative
Jesse Norman,-0.137946,0.071514,-0.043191, Conservative
Jo Churchill,-0.033849,-0.000452,-0.042049, Conservative
John Baron,-0.238739,-0.128301,0.032119, Conservative
John Glen,-0.047461,-0.004163,-0.011794, Conservative
John Hayes,0.013557,0.106475,0.004308, Conservative
John Howell,-0.004167,-0.082448,0.031411, Conservative
Johnny Mercer,-0.019541,0.067162,0.018026, Conservative
John Penrose,0.007423,0.006387,-0.015983, Conservative
John Redwood,-0.039974,-0.012778,0.015616, Conservative
John Stevenson,0.075459,-0.027507,-0.070196, Conservative
John Whittingdale,0.011812,0.047675,-0.027043, Conservative
Jonathan Djanogly,-0.067968,-0.015253,0.018946, Conservative
Jonathan Lord,0.02057,0.149042,0.025962, Conservative
Joseph Johnson,-0.006565,0.020064,0.016832, Conservative
Julian Brazier,-0.028956,-0.001323,-0.030031, Conservative
Julian Knight,0.007552,-0.008752,-0.009194, Conservative
Julian Lewis,-0.130885,0.016095,0.079276, Conservative
Julian Smith,-0.023261,-0.001103,-0.03268, Conservative
Julian Sturdy,-0.028607,0.011962,-0.024163, Conservative
Justine Greening,-0.078154,0.127467,-0.027908, Conservative
Justin Tomlinson,-0.025091,0.023006,-0.021753, Conservative
Karen Bradley,-0.031548,-0.038713,-0.059981, Conservative
Karen Lumley,0.075755,0.132889,-0.215444, Conservative
Karl McCartney,0.006639,-0.055378,0.03672, Conservative
Keith Simpson,0.004422,0.034027,-0.059235, Conservative
Kelly Tolhurst,-0.005617,0.039175,-0.058723, Conservative
Kenneth Clarke,0.311242,-0.041091,-0.17287, Conservative
Kevin Foster,-0.065253,-0.00769,-0.006075, Conservative
Kevin Hollinrake,0.029061,-0.064914,-0.042758, Conservative
Kit Malthouse,-0.009477,0.022062,-0.043484, Conservative
Kris Hopkins,0.019687,0.050631,-0.084941, Conservative
Kwasi Kwarteng,-0.061848,0.029855,-0.017828, Conservative
Laurence Robertson,0.057676,0.078945,-0.149913, Conservative
Liam Fox,-0.186262,0.035827,0.054333, Conservative
Lucy Allan,-0.024175,0.009132,-0.048423, Conservative
Lucy Frazer,-0.059567,-0.003195,-0.011361, Conservative
Luke Hall,-0.029446,-0.001689,-0.012821, Conservative
Maggie Throup,-0.009241,-0.025207,-0.03527, Conservative
Marcus Fysh,-0.077167,-0.00601,0.01429, Conservative
Marcus Jones,-0.015368,0.015565,-0.035105, Conservative
Margot James,0.070047,-0.063055,0.02461, Conservative
Maria Caulfield,-0.021441,-0.003095,-0.003879, Conservative
Maria Miller,-0.014212,0.039504,-0.079437, Conservative
Mark Field,0.020432,-0.009198,-0.031043, Conservative
Mark Francois,0.084213,-0.091226,-0.00073, Conservative
Mark Garnier,0.037721,0.03027,-0.000979, Conservative
Mark Harper,-0.035009,0.043187,-0.034147, Conservative
Mark Lancaster,-0.054677,-0.012741,0.00921, Conservative
Mark Menzies,-0.004984,0.022324,0.022923, Conservative
Mark Pawsey,-0.035644,0.007115,-0.027174, Conservative
Mark Prisk,-0.024419,0.11679,0.045155, Conservative
Mark Pritchard,-0.023264,-0.100292,0.165928, Conservative
Mark Spencer,0.060682,-0.060804,-0.097399, Conservative
Martin Vickers,-0.01103,-0.000814,-0.019344, Conservative
Mary Robinson,0.006588,0.06529,-0.057594, Conservative
Matt Hancock,0.217069,0.123393,-0.181067, Democratic Unionist Party
Matthew Hancock,0.183337,-0.003026,0.331053, Conservative
Matthew Offord,-0.043778,-0.048746,-0.033804, Conservative
Matt Warman,-0.015242,0.043872,-0.041446, Conservative
Mel Stride,0.007347,-0.003543,-0.019468, Conservative
Michael Ellis,-0.020756,0.012755,-0.021482, Conservative
Michael Fabricant,-0.051981,0.056942,0.089545, Conservative
Michael Fallon,-0.136737,0.081713,-0.016886, Conservative
Michael Gove,-0.026215,-0.003427,0.090714, Conservative
Michael Tomlinson,-0.003252,0.021673,-0.022924, Conservative
Michelle Donelan,0.068749,-0.018504,-0.105641, Conservative
Mike Freer,0.067402,0.031058,-0.074786, Conservative
Mike Penning,-0.033429,-0.042332,-0.062908, Conservative
Mike Wood,-0.026016,0.235501,-0.045132, Conservative
Mims Davies,0.015512,-0.000936,-0.023096, Conservative
Nadhim Zahawi,-0.064054,-0.028435,0.033627, Conservative
Nadine Dorries,-0.022703,0.344825,0.129004, Democratic Unionist Party
Neil Carmichael,0.015142,-0.027883,0.057614, Conservative
Neil Parish,-0.050724,-0.010728,0.052547, Conservative
Nicholas Soames,-0.105787,0.077825,-0.014397, Conservative
Nick Boles,-0.231387,-0.05559,-0.207501, Conservative
Nick Gibb,0.024495,-0.006033,-0.011446, Conservative
Nick Herbert,0.139279,0.127674,-0.111435, Conservative
Nick Hurd,0.031915,-0.013918,0.117877, Conservative
Nicky Morgan,-0.07209,0.026792,-0.101145, Conservative
Nicola Blackwood,-0.000472,-0.186355,-0.037455, Conservative
Nigel Adams,-0.023635,0.109491,0.032789, Conservative
Nigel Evans,-0.088619,-0.058516,0.099901, Conservative
Nigel Huddleston,-0.008202,-0.006992,-0.027585, Conservative
Nigel Mills,-0.023884,0.014831,0.008588, Conservative
Nusrat Ghani,-0.064224,0.029761,-0.02904, Conservative
Oliver Colvile,-0.044652,0.002775,-0.017908, Conservative
Oliver Dowden,0.032164,0.023235,-0.016451, Conservative
Oliver Heald,0.024267,0.039931,-0.029614, Conservative
Oliver Letwin,-0.071348,0.045226,-0.053262, Conservative
Owen Paterson,0.047573,-0.013193,0.077018, Conservative
Patrick McLoughlin,0.119889,0.095558,-0.010827, Conservative
Paul Beresford,0.003609,-0.006367,-0.029681, Conservative
Pauline Latham,0.024893,-0.038685,0.01901, Conservative
Paul Maynard,0.000587,0.004613,-0.038175, Conservative
Paul Scully,0.006011,0.018569,-0.096884, Conservative
Penny Mordaunt,-0.004904,0.013563,-0.048756, Conservative
Peter Aldous,-0.012596,0.019035,-0.01293, Conservative
Peter Bone,-0.089825,0.015462,-0.029705, Conservative
Peter Bottomley,-0.103442,-0.015803,-0.200549, Conservative
Peter Heaton Jones,0.007815,0.00324,-0.019455, Scottish National Party
Peter Lilley,0.002028,0.107724,-0.127839, Conservative
Philip Davies,0.444575,-0.193673,-0.117427, Conservative
Philip Dunne,-0.026905,0.005201,0.004562, Conservative
Philip Hammond,-0.128803,0.265743,-0.30543, Conservative
Philip Hollobone,0.017759,-0.183364,0.009518, Conservative
Phillip Lee,0.005213,0.00776,-0.011384, Conservative
Priti Patel,0.069727,0.036403,-0.010728, Conservative
Ranil Jayawardena,0.020592,-0.039699,0.073976, Conservative
Rebecca Harris,-0.023393,-0.001443,-0.024898, Conservative
Rebecca Pow,-0.072116,0.004558,-0.06296, Conservative
Rehman Chishti,0.008912,0.071972,-0.010598, Conservative
Richard Bacon,-0.011891,0.017954,0.062982, Conservative
Richard Benyon,0.05035,0.101883,-0.107396, Conservative
Richard Drax,-0.025037,-0.031761,-0.018838, Conservative
Richard Fuller,0.017508,0.035726,0.04097, Conservative
Richard Graham,0.029739,-0.044021,0.055221, Conservative
Richard Harrington,-0.025649,0.044596,0.028998, Conservative
Rishi Sunak,-0.016289,0.004174,-0.013759, Conservative
Robert Buckland,0.004243,0.054727,-0.014522, Conservative
Robert Courts,0.283095,-0.156696,-0.049797, Democratic Unionist Party
Robert Goodwill,0.016151,0.017455,-0.020784, Conservative
Robert Halfon,-0.006736,0.041828,-0.02432, Conservative
Robert Jenrick,0.009015,-0.0291,-0.03059, Conservative
Robert Neill,-0.090728,0.041469,0.021317, Conservative
Robert Syms,-0.001051,-0.019815,-0.034109, Conservative
Robin Walker,0.000296,-0.015416,-0.08789, Conservative
Rob Wilson,0.052957,0.018875,-0.058932, Conservative
Roger Gale,0.123978,0.009283,0.155519, Conservative
Rory Stewart,-0.077609,0.005861,-0.006335, Conservative
Royston Smith,-0.034434,0.01443,-0.0405, Conservative
Sajid Javid,-0.093487,-0.024462,-0.012872, Conservative
Sam Gyimah,0.03084,0.023446,-0.029105, Conservative
Sarah Newton,-0.093853,0.038534,0.095427, Conservative
Sarah Wollaston,0.031601,-0.042228,0.002708, Conservative
Scott Mann,-0.01384,0.046855,-0.013589, Conservative
Seema Kennedy,-0.029839,0.023479,-0.059212, Conservative
Shailesh Vara,-0.004925,-0.013191,0.007785, Conservative
Sheryll Murray,-0.006225,0.00849,-0.035304, Conservative
Simon Burns,-0.035463,0.031892,-0.036403, Conservative
Simon Hart,0.08128,0.025141,-0.036197, Conservative
Simon Hoare,0.029748,0.06063,-0.083417, Conservative
Simon Kirby,-0.018151,-0.054002,-0.098709, Conservative
Stephen Barclay,0.07516,0.014949,-0.027401, Conservative
Stephen Crabb,-0.015435,-0.054881,-0.043214, Conservative
Stephen Hammond,-0.047473,-0.067489,0.005036, Conservative
Stephen McPartland,-0.024463,-0.002245,-0.205432, Conservative
Stephen Metcalfe,0.005272,-0.007024,-0.055229, Conservative
Stephen Phillips,-0.347439,0.05323,0.144822, Conservative
Steve Baker,0.022258,-0.016867,0.004738, Conservative
Steve Brine,0.097711,-0.002113,0.024372, Conservative
Steve Double,0.003157,-0.001886,0.04491, Conservative
Stewart Jackson,0.062775,0.022262,-0.021003, Conservative
Stuart Andrew,-0.004347,0.011734,-0.02131, Conservative
Suella Fernandes,-0.045859,0.023364,-0.033543, Conservative
Tania Mathias,-0.100152,-0.02895,0.037503, Conservative
Theresa May,0.228518,-0.183578,0.152219, Conservative
Theresa Villiers,-0.126534,0.024884,-0.069539, Conservative
Tim Loughton,0.017531,0.089887,0.012395, Conservative
Tobias Ellwood,0.05044,0.080007,0.024415, Conservative
Tom Pursglove,-0.008456,0.036959,-0.05178, Conservative
Tom Tugendhat,-0.018311,0.01786,-0.093974, Conservative
Tracey Crouch,-0.111254,0.110913,-0.169992, Democratic Unionist Party
Trudy Harrison,0.218096,-0.025333,-0.373647, Democratic Unionist Party
Victoria Atkins,0.027977,0.053154,-0.024427, Conservative
Victoria Borwick,-0.011185,0.053803,-0.076498, Conservative
Victoria Prentis,-0.021783,0.06163,-0.068256, Conservative
Wendy Morton,-0.003693,0.056824,0.000255, Conservative
William Cash,0.019977,0.052989,0.083157, Conservative
William Wragg,0.018443,0.02916,-0.059475, Conservative
Will Quince,0.007667,0.036226,-0.024214, Conservative
Zac Goldsmith,-0.191376,-0.303538,-0.411391, Conservative
David Simpson,-0.289327,-0.069124,0.326171, Democratic Unionist Party
Gavin Robinson,-0.028819,0.405136,0.24892, Democratic Unionist Party
Gregory Campbell,0.229849,0.438933,-0.079917, Democratic Unionist Party
Ian Paisley,-0.158798,-0.333252,-0.215856, Democratic Unionist Party
Jeffrey Donaldson,0.099366,0.471916,0.210231, Democratic Unionist Party
Jim Shannon,0.179144,-0.337664,-0.113943, Democratic Unionist Party
Nigel Dodds,-0.222324,-0.434516,-0.083961, Democratic Unionist Party
Sammy Wilson,0.140265,-0.041218,0.363892, Democratic Unionist Party
Caroline Lucas,-0.094702,0.239268,-0.099144, Green Party
 Hermon,-0.349913,0.335895,0.106935, Green Party
Anne Morris,-0.034751,0.045799,0.01335, Conservative
Michelle Thomson,0.144371,0.32143,-0.168492, Scottish National Party
Natalie McGarry,-0.102732,-0.046689,0.268598, Scottish National Party
Simon Danczuk,0.002889,0.14548,0.22687, Labour
Alan Campbell,-0.057465,0.000691,0.076737, Labour
Alan Johnson,-0.215378,0.118768,0.136491, Labour
Alan Meale,0.216661,0.073948,-0.074913, Labour
Alan Whitehead,-0.021023,0.032783,0.078441, Green Party
Albert Owen,-0.166323,-0.077836,0.009518, Labour
Alex Cunningham,0.007332,-0.009338,0.027833, Labour
Alison McGovern,0.112638,0.038278,0.019856, Green Party
Andrew Gwynne,-0.011546,-0.228261,0.12112, Labour
Andrew Smith,0.033509,-0.04745,0.099948, Labour
Andy Burnham,-0.251998,-0.149664,0.207076, Labour
Andy McDonald,-0.094929,-0.074579,0.15097, Labour
Andy Slaughter,-0.025834,0.04598,0.01105, Green Party
Angela Eagle,-0.12354,0.059144,0.146319, Labour
Angela Rayner,-0.028302,0.021529,0.041602, Labour
Angela Smith,-0.030934,-0.04993,0.15852, Green Party
Ann Clwyd,-0.242633,-0.130195,0.160719, Green Party
Ann Coffey,0.301925,0.03303,0.205371, Green Party
Barbara Keeley,-0.055296,-0.072951,-0.125001, Labour
Barry Gardiner,0.041184,-0.06459,0.246634, Labour
Ben Bradshaw,0.116499,0.069121,0.203364, Green Party
Bill Esterson,-0.045909,-0.195273,0.199593, Labour
Bridget Phillipson,-0.124038,0.217993,-0.05699, Green Party
Caroline Flint,-0.201385,-0.050991,0.100754, Labour
Carolyn Harris,0.059661,-0.006211,0.098523, Labour
Catherine McKinnell,-0.259922,0.176923,0.117394, Green Party
Catherine West,0.023184,-0.158426,0.094222, Green Party
Cat Smith,-0.072065,-0.125999,-0.023186, Labour
Chi Onwurah,-0.085886,0.020266,0.023274, Labour
Chris Bryant,0.044533,-0.10914,-0.138277, Green Party
Chris Elmore,-0.013136,0.177299,0.094776, Labour
Christian Matheson,0.000787,-0.01483,0.0081, Labour
Chuka Umunna,-0.138519,-0.160195,-0.002882, Labour
Clive Betts,0.066837,-0.160171,-0.16289, Labour
Clive Efford,-0.078467,-0.215151,0.039688, Labour
Clive Lewis,0.092744,0.174949,0.184497, Labour
Colleen Fletcher,-0.013419,0.022292,-0.034495, Labour
Conor McGinn,-0.126472,0.083144,0.114108, Labour
Daniel Zeichner,0.02151,-0.005286,-0.021314, Green Party
Dan Jarvis,-0.138091,-0.021883,0.060883, Labour
David Anderson,0.076667,-0.11447,-0.166687, Labour
David Crausby,0.148797,0.108509,0.217773, Labour
David Hanson,-0.042085,-0.011432,0.054525, Labour
David Lammy,0.018657,0.231354,0.096742, Green Party
David Winnick,0.010256,-0.059224,0.061465, Labour
Dawn Butler,-0.053002,-0.034151,-0.085372, Labour
Debbie Abrahams,0.063353,-0.046364,0.092496, Labour
Dennis Skinner,-0.004421,-0.219184,-0.001657, Green Party
Derek Twigg,0.092511,0.060024,0.219527, Labour
Diana Johnson,0.199591,0.074197,-0.007242, Labour
Diane Abbott,0.155519,0.069875,0.172574, Labour
Edward Miliband,-0.202947,0.081556,0.24828, Labour
Emily Thornberry,-0.190739,0.079341,-0.008247, Labour
Emma Lewell Buck,-0.104359,-0.063047,0.024877, Labour
Emma Reynolds,-0.3929,0.045966,0.034188, Labour
Fabian Hamilton,0.127966,0.029887,-0.073418, Labour
Fiona Mactaggart,0.036798,0.010234,-0.057292, Labour
Frank Field,-0.364073,-0.265645,0.05062, Labour
Geoffrey Robinson,0.010139,-0.16398,0.03509, Labour
George Howarth,-0.05295,-0.238489,-0.063659, Labour
Gerald Jones,0.00998,-0.042386,0.035273, Labour
Gerald Kaufman,0.099421,0.092054,-0.449291, Green Party
Gill Furniss,-0.024982,0.133185,0.220708, Labour
