Paul Williams, Labour
Chris Williamson, Labour
Phil Wilson, Labour
Pete Wishart, Scottish National Party
John Woodcock, Labour (Co-op)
Kate Osamor, Labour (Co-op)
Mohammad Yasin, Labour
Daniel Zeichner, Labour
Louise Haigh, Labour
Fabian Hamilton, Labour
David Hanson, Labour
Emma Hardy, Labour
Harriet Harman, Labour
Carolyn Harris, Labour
Helen Hayes, Labour
Sue Hayman, Labour
Afzal Khan, Labour
Wes Streeting, Labour
Ian Paisley, Democratic Unionist Party
Tom Brake, Liberal Democrat
Deidre Brock, Scottish National Party
Vince Cable, Liberal Democrat
Ronnie Cowan, Scottish National Party
Edward Davey, Liberal Democrat
Thangam Debbonaire, Labour
Wera Hobhouse, Liberal Democrat
Tim Farron, Liberal Democrat
Stewart Hosie, Scottish National Party
Jeff Smith, Labour
Jamie Stone, Liberal Democrat
Hywel Williams, Plaid Cymru
Nigel Adams, Conservative
Peter Bone, Conservative
Ben Lake, Plaid Cymru
Boris Johnson, Conservative
Julian Knight, Conservative
Theresa May, Conservative
Stephen Lloyd, Liberal Democrat
Andrew Rosindell, Conservative
David Rutley, Conservative
Giles Watling, Conservative
Carol Monaghan, Scottish National Party
Layla Moran, Liberal Democrat
Hannah Bardell, Scottish National Party
Hilary Benn, Labour
Roberta Blackman-Woods, Labour
Emma Reynolds, Labour
Luciana Berger, Labour (Co-op)
Liz Roberts, Plaid Cymru
Mhairi Black, Scottish National Party
Kate Hoey, Labour
Angus MacNeil, Scottish National Party
Nick Boles, Conservative
Kenneth Clarke, Conservative
Angela Crawley, Scottish National Party
Simon Danczuk, Independent
Byron Davies, Conservative
James Davies, Conservative
David Anderson, Labour
Jim Dowd, Labour
Flick Drummond, Conservative
Michael Dugher, Labour
Caroline Ansell, Conservative
Tom Elliott, Ulster Unionist Party
Jane Ellison, Conservative
Graham Evans, Conservative
Robert Flello, Labour
Richard Fuller, Conservative
Edward Garnier, Conservative
Ben Gummer, Conservative
Alan Haselhurst, Conservative
Kris Hopkins, Conservative
Gerald Howarth, Conservative
Ben Howlett, Conservative
Stewart Jackson, Conservative
Gavin Barwell, Conservative
Danny Kinahan, Ulster Unionist Party
Simon Kirby, Conservative
Charlotte Leslie, Conservative
Peter Lilley, Conservative
David Mackintosh, Conservative
Tania Mathias, Conservative
Jason McCartney, Conservative
Karl McCartney, Conservative
Alan Meale, Labour
James Berry, Conservative
David Mowat, Conservative
Greg Mulholland, Liberal Democrat
Andrew Bingham, Conservative
David Nuttall, Conservative
Sarah Olney, Liberal Democrat
George Osborne, Conservative
Nicola Blackwood, Conservative
Eric Pickles, Conservative
Tom Blenkinsop, Labour
John Pugh, Liberal Democrat
Steve Rotheram, Labour
Andrew Smith, Labour
Victoria Borwick, Conservative
Amanda Solloway, Conservative
Gisela Stuart, Labour
Edward Timpson, Conservative
Andrew Turner, Conservative
Andrew Tyrie, Conservative
Angela Watkinson, Conservative
Julian Brazier, Conservative
James Wharton, Conservative
Chris White, Conservative
Craig Williams, Conservative
Mark Williams, Liberal Democrat
Rob Wilson, Conservative
Rosie Winterton, Labour
Iain Wright, Labour
Fiona Mactaggart, Labour
Alasdair McDonnell, Social Democratic & Labour Party
Natalie McGarry, Independent
Michelle Thomson, Independent
Andy Burnham, Labour
Simon Burns, Conservative
David Burrowes, Conservative
Neil Carmichael, Conservative
Oliver Colvile, Conservative
Graham Allen, Labour
Mark Durkan, Social Democratic & Labour Party
Margaret Ritchie, Social Democratic & Labour Party
David Winnick, Labour
Kirsten Oswald, Scottish National Party
Steven Paterson, Scottish National Party
Owen Thompson, Scottish National Party
Mike Weir, Scottish National Party
George Kerevan, Scottish National Party
Rob Marris, Labour
Anne McLaughlin, Scottish National Party
Roger Mullin, Scottish National Party
Philip Boswell, Scottish National Party
Tasmina Ahmed-Sheikh, Scottish National Party
Stuart Donaldson, Scottish National Party
Calum Kerr, Scottish National Party
Margaret Ferrier, Scottish National Party
Callum McCaig, Scottish National Party
Paul Monaghan, Scottish National Party
John Nicolson, Scottish National Party
Angus Robertson, Scottish National Party
Eilidh Whiteford, Scottish National Party
Pat Glass, Labour
Alan Johnson, Labour
Alex Salmond, Scottish National Party
Corri Wilson, Scottish National Party
John Nally, Scottish National Party
Richard Arkless, Scottish National Party
Nick Clegg, Liberal Democrat
Karen Lumley, Conservative
Douglas Carswell, UK Independence Party
Jamie Reed, Labour
Tristram Hunt, Labour
 Poulter, Conservative
Stephen Phillips, Conservative
David Cameron, Conservative
Matthew Hancock, Conservative
Jo Cox, Labour
Gerald Kaufman, Labour
Sadiq Khan, Labour
Huw Irranca-Davies, Labour
John Thurso, Liberal Democrat
John Lancaster, Conservative
Alexander Beresford, Conservative
Gregory Barker, Conservative
James Arbuthnot, Conservative
Daniel Byles, Conservative
George Young, Conservative
Brian Binley, Conservative
Robert Wilson, Conservative
William Hague, Conservative
Nicolas Gibb, Conservative
Mark Simmonds, Conservative
Andrew Lansley, Conservative
Lorraine Fullbrook, Conservative
Timothy Yeo, Conservative
Brooks Newmark, Conservative
Chris Pincher, Conservative
Charles Cox, Conservative
Mary MacLeod, Conservative
David Clark, Conservative
Alexander Randall, Conservative
Charles Hendry, Conservative
Paul Uppal, Conservative
Nicholas Herbert, Conservative
Robert Wallace, Conservative
Pamela Nash, Labour
Michael Weir, Scottish National
Thomas Clarke, Labour
Russell Brown, Labour
James McGovern, Labour
Thomas Docherty, Labour
Michael McCann, Labour
Fiona O'Donnell, Labour
James Murphy, Labour
Marek Lazarowicz, Labour
Eric Joyce, Independent
Anas Sarwar, Labour
Margaret Curran, Labour
Ann McKechin, Labour
Willie Bain, Labour
John Robertson, Labour
Thomas Harris, Labour
Ian Davidson, Labour
Malcolm Bruce, Liberal Democrat
James Brown, Labour
Michael Connarty, Labour
Graeme Morrice, Labour
Kathryn Clark, Labour
Gordon Banks, Labour
James Sheridan, Labour
Douglas Alexander, Labour
Peter Wishart, Scottish National
Tom Greatrex, Labour
Anne McGuire, Labour
Gemma Doyle, Labour
David Francis, Labour
Richard Shepherd, Conservative
Micael Dugher, Labour
Stephen McCabe, Labour
John Straw, Labour
Julie Hilling, Labour
Joseph Benton, Labour
Gerard Sutcliffe, Labour
Stephen Williams, Liberal Democrat
Martin Horwood, Liberal Democrat
Duncan Hames, Liberal Democrat
Aidan Burley, Conservative
Robert Russell, Liberal Democrat
Jamieson Reed, Labour
Andy Sawford, Labour
Jonathan Cruddas, Labour
Rosalie Winterton, Labour
Tessa Jowell, Labour
